POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
559,40991,40991,F,H2L,PreMove,40991 PreMove,10/12/2018 0:00:0,33.147024,-81.701955
560,40991,40991,F,H2L,PreMove,40991 PreMove,10/12/2018 2:00:0,33.146719,-81.702044
561,40991,40991,F,H2L,PreMove,40991 PreMove,10/12/2018 4:00:0,33.145721,-81.70479
562,40991,40991,F,H2L,PreMove,40991 PreMove,10/12/2018 6:00:0,33.148868,-81.704612
563,40991,40991,F,H2L,PreMove,40991 PreMove,10/12/2018 12:00:0,33.148175,-81.708363
564,40991,40991,F,H2L,PreMove,40991 PreMove,10/12/2018 18:00:0,33.146141,-81.707003
565,40991,40991,F,H2L,PreMove,40991 PreMove,10/12/2018 20:00:0,33.146725,-81.702006
566,40991,40991,F,H2L,PreMove,40991 PreMove,10/12/2018 22:00:0,33.147762,-81.703951
567,40991,40991,F,H2L,PreMove,40991 PreMove,10/13/2018 0:00:0,33.148957,-81.703201
568,40991,40991,F,H2L,PreMove,40991 PreMove,10/13/2018 2:00:0,33.146725,-81.70198
569,40991,40991,F,H2L,PreMove,40991 PreMove,10/13/2018 4:00:0,33.146204,-81.703392
570,40991,40991,F,H2L,PreMove,40991 PreMove,10/13/2018 6:00:0,33.148677,-81.704307
571,40991,40991,F,H2L,PreMove,40991 PreMove,10/13/2018 12:00:0,33.151309,-81.7046
572,40991,40991,F,H2L,PreMove,40991 PreMove,10/13/2018 18:00:0,33.147406,-81.703264
573,40991,40991,F,H2L,PreMove,40991 PreMove,10/13/2018 20:00:0,33.147457,-81.703353
574,40991,40991,F,H2L,PreMove,40991 PreMove,10/13/2018 22:00:0,33.148423,-81.704727
