POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
197,40991,40991,F,H2L,PostMove,40991 PostMove,12/13/2018 18:00:0,33.271231,-81.693804
198,40991,40991,F,H2L,PostMove,40991 PostMove,12/13/2018 20:00:0,33.271466,-81.691808
199,40991,40991,F,H2L,PostMove,40991 PostMove,12/13/2018 22:00:0,33.273749,-81.690981
200,40991,40991,F,H2L,PostMove,40991 PostMove,12/14/2018 0:00:0,33.273914,-81.69093
201,40991,40991,F,H2L,PostMove,40991 PostMove,12/14/2018 2:00:0,33.27509,-81.695203
202,40991,40991,F,H2L,PostMove,40991 PostMove,12/14/2018 4:00:0,33.275554,-81.700874
203,40991,40991,F,H2L,PostMove,40991 PostMove,12/14/2018 6:00:0,33.273043,-81.699068
204,40991,40991,F,H2L,PostMove,40991 PostMove,12/14/2018 12:00:0,33.272452,-81.69533
205,40991,40991,F,H2L,PostMove,40991 PostMove,12/14/2018 18:00:0,33.27111,-81.693728
206,40991,40991,F,H2L,PostMove,40991 PostMove,12/14/2018 20:00:0,33.270315,-81.692749
207,40991,40991,F,H2L,PostMove,40991 PostMove,12/14/2018 22:00:0,33.270303,-81.693028
208,40991,40991,F,H2L,PostMove,40991 PostMove,12/15/2018 0:00:0,33.273265,-81.698865
209,40991,40991,F,H2L,PostMove,40991 PostMove,12/15/2018 2:00:0,33.274066,-81.690409
210,40991,40991,F,H2L,PostMove,40991 PostMove,12/15/2018 4:00:0,33.273164,-81.689214
211,40991,40991,F,H2L,PostMove,40991 PostMove,12/15/2018 6:00:0,33.273405,-81.689137
212,40991,40991,F,H2L,PostMove,40991 PostMove,12/15/2018 12:00:0,33.27434,-81.692736
213,40991,40991,F,H2L,PostMove,40991 PostMove,12/15/2018 18:00:0,33.274333,-81.691439
214,40991,40991,F,H2L,PostMove,40991 PostMove,12/15/2018 20:00:0,33.272839,-81.688667
215,40991,40991,F,H2L,PostMove,40991 PostMove,12/15/2018 22:00:0,33.269972,-81.691375
216,40991,40991,F,H2L,PostMove,40991 PostMove,12/16/2018 0:00:0,33.271485,-81.692952
217,40991,40991,F,H2L,PostMove,40991 PostMove,12/16/2018 2:00:0,33.273863,-81.693817
218,40991,40991,F,H2L,PostMove,40991 PostMove,12/16/2018 4:00:0,33.274372,-81.694414
219,40991,40991,F,H2L,PostMove,40991 PostMove,12/16/2018 6:00:0,33.273278,-81.695012
220,40991,40991,F,H2L,PostMove,40991 PostMove,12/16/2018 12:00:0,33.272477,-81.695266
221,40991,40991,F,H2L,PostMove,40991 PostMove,12/16/2018 18:00:0,33.270627,-81.693588
222,40991,40991,F,H2L,PostMove,40991 PostMove,12/16/2018 20:00:0,33.272324,-81.693461
223,40991,40991,F,H2L,PostMove,40991 PostMove,12/16/2018 22:00:0,33.273742,-81.690727
224,40991,40991,F,H2L,PostMove,40991 PostMove,12/17/2018 0:00:0,33.274219,-81.69121
225,40991,40991,F,H2L,PostMove,40991 PostMove,12/17/2018 2:00:0,33.275014,-81.694007
